Response Id,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You enjoy participating in group activities.,You are definitely not an artistic type of person.,Your mood can change very quickly.,You often end up doing things at the last possible moment.,You rarely second-guess the choices that you have made.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You struggle with deadlines.,You like to have a to-do list for each day.,You rarely worry about whether you make a good impression on people you meet.,You feel confident that things will work out for you.,You are prone to worrying that things will take a turn for the worse.,"You have always been fascinated by the question of what, if anything, happens after death.",You usually prefer to be around others rather than on your own.,You find it easy to empathize with a person whose experiences are very different from yours.,You avoid making phone calls.,You often spend a lot of time trying to understand views that are very different from your own.,"In your social circle, you are often the one who contacts your friends and initiates activities.","If your plans are interrupted, your top priority is to get back on track as soon as possible.",Your emotions control you more than you control them.,You often feel overwhelmed.,Personality_numeric
15268,0,-2,2,0,1,0,-1,-1,-1,1,0,0,2,2,1,-1,-2,-2,0,2,-1,-1,-1,1,2,3
15269,1,2,1,-1,-1,1,0,-1,-1,-1,0,1,1,3,-2,0,-2,3,0,-1,-1,1,1,-1,-1,3
15270,-1,3,2,0,3,-1,0,-1,-1,1,1,0,1,1,3,-1,2,-1,-2,2,-2,0,1,0,1,5
15273,-3,1,0,1,-3,-1,2,-3,1,0,1,2,-2,2,0,-1,0,1,-2,1,-1,0,3,-2,1,1
15274,0,-1,1,1,-1,-1,1,2,0,0,-2,2,-1,-2,0,0,1,0,-2,3,2,-2,2,1,3,4
15275,3,1,-2,0,1,1,0,-1,3,1,1,-1,1,1,2,-3,0,0,-2,1,0,1,0,3,1,5
15276,-1,-1,-1,-1,-1,2,1,-1,1,-3,-1,1,-1,-1,-2,1,0,0,-2,1,3,1,0,1,3,4
15286,-1,0,0,0,-1,1,2,-1,-1,-1,-1,2,0,0,0,1,-2,-2,1,1,0,0,0,1,2,2
15289,-2,-2,-2,-1,1,0,1,-1,1,-2,-1,0,1,-3,0,-3,0,1,-1,0,3,-1,2,2,2,5
15292,2,-2,0,3,1,1,1,-1,0,-2,-3,-3,-2,1,0,2,-2,1,0,-2,-1,1,3,-2,-1,3
15293,-1,2,-2,-2,-2,0,2,-1,2,-1,1,-2,2,1,0,-1,-1,1,0,0,-1,-1,1,-2,0,1
15300,1,3,0,-2,1,1,2,2,0,2,1,-1,-1,1,1,0,0,1,-1,2,-1,1,0,1,1,5
15304,0,-1,1,0,-2,2,0,3,1,-1,-1,-2,0,2,0,2,-3,-2,1,2,-1,1,-3,1,-2,2
15305,-1,1,1,-1,1,-1,0,-1,0,-1,2,0,-1,-2,-2,-2,-1,0,-2,-1,-1,-1,-1,0,-2,1
15311,0,1,-1,-1,2,-2,3,0,-1,-2,0,0,-1,-2,-1,-2,-2,-1,-3,-3,1,-2,-2,0,-2,1
15319,-1,2,-2,-2,3,-1,0,-1,-1,-1,1,-1,-2,-1,-2,-2,0,-1,-1,-3,-2,-1,-2,1,-1,1
15320,0,-3,1,-1,-1,0,3,2,-2,-2,-1,2,1,0,-2,1,-1,1,1,-1,-1,-3,3,2,1,2
15321,-2,1,0,-1,-2,2,1,-1,1,0,0,2,1,2,-1,0,-2,0,-2,-2,-3,-2,1,-2,1,1
15325,-1,-2,-2,-2,1,1,2,-3,-2,-1,1,1,1,-1,0,-1,0,-2,-2,-3,0,-1,-2,1,0,1
15326,1,-1,2,-1,1,1,1,3,0,0,-2,-1,-1,-1,1,-2,0,0,0,-1,-1,-1,0,0,2,5
15327,1,-1,0,0,-3,2,0,2,0,2,-2,-2,2,-1,-2,-2,-1,1,0,-2,-3,-1,2,-1,1,1
15329,2,1,0,-1,3,1,2,-1,0,2,1,0,2,1,2,-1,2,0,0,-1,-2,2,1,0,1,5
15331,-2,-2,3,-1,0,-2,1,2,0,-1,0,1,2,1,0,-3,-1,0,1,1,-2,0,2,-1,1,2
15332,1,-2,-1,-1,0,3,3,2,0,-2,0,1,2,-3,1,2,2,0,-1,2,-1,-1,1,2,1,4
15337,-1,2,-2,-2,1,0,2,1,0,0,2,1,-1,-2,-1,-2,0,-1,-2,-2,0,-2,-2,2,-2,1
15338,3,0,2,0,0,1,0,-2,-2,-2,-1,0,0,0,-1,2,-2,0,0,0,1,-1,1,0,-1,3
15339,3,0,0,-1,2,0,2,0,3,0,-1,-1,0,1,2,-2,3,-2,-1,0,-2,-1,2,-1,2,5
15340,-1,0,0,0,-1,-1,1,1,1,-2,-1,-1,2,0,-1,-1,-2,-3,1,1,1,1,1,2,1,2
15343,1,0,1,-3,-1,-1,2,2,1,-1,-2,2,0,0,-1,-1,-1,0,2,2,-1,-1,2,1,1,2
15344,-2,1,1,1,-1,-1,1,2,1,-3,0,0,1,-1,-3,-1,-1,-3,1,1,1,3,0,1,-2,2
15346,-2,-1,2,-2,-2,0,-2,-2,0,0,3,-1,1,2,-2,0,-3,-3,-2,2,1,1,-2,2,1,3
15348,0,1,-2,-1,-1,1,-1,0,-1,0,0,1,-2,2,1,2,0,-1,1,-2,1,-1,0,0,2,4
15358,2,0,2,-1,0,0,1,1,0,-3,-1,-2,-1,0,0,0,-1,-1,0,1,0,-1,2,0,-1,3
15360,1,0,-1,1,-1,-2,-1,-1,2,0,0,-1,2,2,-1,3,-1,2,-1,1,0,0,2,2,1,3
15361,2,0,-1,-2,-2,2,-1,-2,-1,2,3,1,-2,0,2,2,2,-2,2,-1,0,0,2,-2,1,4
15363,-1,3,-1,-2,-2,1,0,1,3,-3,3,-2,0,2,-2,0,-2,1,0,-1,0,-2,2,0,0,1
15367,-2,2,-1,-1,2,-1,1,-1,-1,1,1,-1,1,-2,-1,0,1,-1,-1,0,-2,-1,-2,2,-2,1
15372,1,1,0,-1,-2,2,-1,0,1,1,0,3,1,-1,1,1,-1,-2,1,-1,-2,-1,1,1,0,4
15374,2,2,0,-3,-2,2,-1,-1,-2,2,0,1,0,3,2,2,1,0,1,-2,-1,-2,1,-2,1,4
15387,0,-2,1,-1,-1,1,2,2,1,-2,-1,0,0,-1,0,0,-2,-2,2,2,-1,0,-1,3,-1,2
15396,1,1,1,-1,-1,0,0,0,2,0,-3,-2,2,-2,-1,2,2,-2,-2,1,0,-1,2,2,2,4
15397,0,0,1,3,1,2,0,0,2,-1,0,0,2,-2,-1,0,0,0,0,2,-1,1,-2,2,-3,2
15401,2,0,-1,0,1,2,2,0,3,0,1,-3,1,0,1,-1,2,2,-1,0,-1,1,0,0,-1,5
15403,0,0,0,-2,2,1,0,1,2,-2,-3,1,1,2,-2,0,0,-1,0,-1,0,0,0,2,1,4
15409,-2,0,1,1,-2,1,0,3,2,-2,-2,-1,3,1,2,-3,-2,-1,2,2,0,2,1,3,-1,2
15412,-2,-1,2,-1,-2,1,-2,-1,-2,-3,1,-2,1,1,2,1,0,-1,-3,0,3,-1,0,0,-1,3
15418,-1,-2,1,-2,0,3,2,-1,-1,0,0,-1,0,-1,2,1,0,-2,0,0,0,-3,-2,0,2,3
15420,2,1,-1,1,0,0,2,-2,-1,-1,-1,-2,-1,1,-3,3,-1,3,0,-3,-2,2,0,0,-1,3
15421,-1,-1,0,3,-1,0,0,0,2,-1,-1,-1,2,-1,-1,0,-2,-2,-1,3,2,2,-1,1,-3,2
15425,-2,-2,-1,0,3,-1,0,2,-2,-2,-1,1,1,-1,-1,-2,0,1,0,1,-2,2,1,-2,1,2
15426,0,-2,-2,-1,0,2,0,2,0,-2,-3,-1,2,-1,0,-1,0,0,1,-1,2,-1,2,0,1,4
15431,-1,1,-2,-3,2,1,0,0,3,-3,-2,1,1,-2,0,-1,2,0,-2,1,0,0,1,3,0,4
15432,-2,0,-1,-2,2,-3,0,-1,0,-3,1,-2,-1,-1,-1,0,-1,0,0,-2,-2,0,-1,2,-1,1
15433,-1,0,-1,0,-1,2,2,1,2,-1,-1,-2,1,0,1,1,2,-2,0,-2,1,-2,0,-1,0,5
15436,-1,3,-2,-1,-1,1,1,-1,2,-3,3,-3,-1,1,0,-1,0,0,0,0,2,0,2,0,0,1
15443,0,0,0,0,-3,1,0,0,1,-1,2,-2,1,1,1,0,-1,2,1,0,-1,0,-1,0,1,1
15445,-2,-3,-1,-2,-1,1,2,2,0,-1,-1,-1,2,-3,1,1,2,-3,-2,1,0,-1,0,1,0,4
15450,-2,-2,-1,-1,3,2,2,1,2,2,-1,3,2,0,0,2,2,-1,-1,0,-2,-3,3,1,0,4
15454,-1,2,-1,-2,1,2,1,1,3,0,1,-2,0,0,0,-1,1,-2,-2,2,-2,-1,-1,1,0,5
15455,-1,-1,2,0,-1,1,0,0,0,-2,-1,-1,0,-2,-1,0,0,1,-1,2,-2,0,-2,1,-1,2
15461,-2,1,2,-1,-1,1,1,-1,-1,-2,1,-1,1,2,0,0,-2,-2,0,1,2,-2,-2,0,3,3
15464,0,-1,2,-3,1,-1,2,2,-1,0,-1,0,0,0,-3,-2,-1,3,0,0,-2,0,1,1,2,2
15466,0,-2,-3,-2,2,1,1,1,1,1,0,-1,2,-1,2,0,2,0,-2,-2,1,2,1,0,3,5
15471,-2,-2,-3,0,0,-1,2,2,0,-2,1,2,1,-1,-1,1,2,0,-1,1,2,1,-1,1,0,4
15473,1,2,-2,1,1,0,3,1,-1,0,2,0,0,-2,0,-1,-1,-3,-3,-2,0,-1,-2,2,-2,1
15474,1,-2,1,1,-2,0,-1,1,1,1,-1,0,0,0,0,-3,-1,-3,1,1,-3,0,-1,2,-1,2
15475,0,1,-1,-2,1,-1,3,2,1,3,0,-2,2,2,0,1,1,1,-1,2,-3,2,3,1,1,5
15476,1,0,1,-1,-2,1,0,0,0,-3,-2,0,0,-1,-1,1,1,1,-1,0,-1,1,2,-1,-2,3
15479,0,2,-1,-1,-1,3,0,0,1,0,2,0,1,1,0,0,-3,1,-1,0,-1,0,3,-2,1,1
15482,0,-2,-1,0,3,1,2,3,0,-1,2,3,2,1,-2,2,0,-1,0,1,1,-2,-1,1,0,4
15483,0,-3,0,-2,2,3,2,-1,2,-1,0,0,3,-1,-2,2,1,-3,-2,2,1,-2,0,1,2,4
15486,0,0,0,-1,1,-1,0,-2,-2,-2,1,-1,-3,0,1,-2,0,-2,0,-2,1,-2,2,1,1,1
15487,3,3,0,-1,2,0,1,1,3,3,1,0,0,0,0,-2,2,-1,-1,2,-2,0,1,0,1,5
15489,-1,2,-2,0,1,2,0,1,-1,3,2,0,-1,-1,1,-1,1,2,-2,-1,-2,3,0,-1,2,5
15490,-2,1,-2,-2,1,0,3,2,3,1,2,-2,1,0,2,-2,0,0,-1,0,-2,0,1,1,0,5
15500,-1,-3,0,-1,2,2,3,1,-1,0,0,2,0,-2,-3,2,1,-1,-2,2,0,-3,0,1,2,4
15505,2,2,-1,-1,-1,2,-2,-1,-3,3,1,1,-2,2,1,2,2,-2,0,-2,1,-3,2,-2,0,4
15513,0,1,0,-1,-1,-2,3,1,-1,-3,0,2,2,-3,-1,0,0,3,2,2,-1,1,1,2,1,2
15515,-1,-1,1,-2,0,2,-2,-3,0,-3,3,-2,1,1,0,2,-1,-2,-1,0,1,1,0,3,1,3
15522,-3,-1,-2,-1,-2,2,0,-1,-2,0,1,-1,2,1,1,-2,-2,-1,-2,-2,-1,-1,1,0,2,1
15527,-1,-1,3,2,-2,-1,0,0,-1,-2,-3,-1,-1,-2,1,0,1,1,1,-2,2,2,0,2,1,2
15528,-2,-1,2,2,0,-2,0,2,-1,0,-1,1,2,1,0,-2,-2,1,1,1,-3,0,2,0,2,2
15529,0,1,-1,2,1,1,0,1,0,1,1,0,0,1,2,0,0,3,-2,2,-2,1,-1,-1,-1,5
15530,1,-1,0,-1,0,3,-1,1,0,-1,2,-3,1,1,-2,-1,0,-2,-1,-2,-1,1,-1,0,0,1
15533,1,1,-1,-3,-1,-2,2,-2,1,0,2,-1,0,-3,-1,-2,1,-2,-3,-3,0,-2,1,1,-1,1
15538,0,2,-1,-1,1,-1,2,0,-1,1,2,-2,-1,-1,-2,-2,-1,0,-1,-1,-2,-2,-1,1,-3,1
15540,-1,-1,-2,-2,0,0,0,2,3,-1,-1,1,1,-3,-2,0,3,-1,-1,0,1,-2,2,1,2,4
15541,-1,-1,-2,0,0,1,2,1,1,-3,-1,1,2,0,-3,3,-1,-2,-2,1,1,-2,1,0,3,4
15543,-2,-1,2,-1,-1,2,-1,-1,-1,0,3,0,-1,0,-1,0,-2,-2,0,0,1,-1,-2,3,1,3
15544,0,3,-1,0,0,2,-3,-2,-2,2,3,1,0,0,0,1,3,-2,1,-1,0,-2,1,-1,0,4
15547,-2,1,0,-2,2,2,0,2,0,0,-3,-2,1,-2,3,-1,2,-2,0,0,1,-1,2,-2,0,5
15553,-1,0,-1,-1,-2,0,1,2,1,0,-1,-1,2,-2,-2,-3,-1,-1,2,0,-3,-2,0,1,0,2
15555,-2,-1,-2,-1,1,1,1,-1,-1,-3,1,0,2,-2,1,-1,-1,0,-3,0,1,-2,2,-1,0,5
15556,0,0,1,-2,0,2,-1,-1,-2,-2,-1,0,1,1,-3,2,-2,0,-2,-3,-1,2,1,-1,-3,3
15557,0,0,2,0,-1,0,-2,1,-1,-1,-2,-1,0,-2,2,-1,-1,0,-1,0,-1,1,-1,0,-1,2
15559,-2,0,0,-2,-2,-1,0,1,0,-1,-2,-1,-2,-3,1,-1,1,-1,-1,2,2,0,3,0,1,4
15560,-1,-3,0,2,0,2,2,2,-1,-2,0,2,-1,0,-1,2,1,-2,-1,1,2,-2,0,1,3,4
15562,1,-1,-1,2,3,2,3,1,2,1,0,0,0,1,0,2,1,-2,-1,2,0,0,2,2,0,4
15565,-2,-2,2,-1,2,-1,3,1,-2,-1,-1,1,2,-1,-2,-2,-1,1,0,-1,-3,0,-1,1,0,2
15566,-2,-1,-1,1,2,-1,-1,1,2,-2,-1,2,1,-3,2,-2,-1,1,3,0,-2,-3,2,-2,2,2
15567,-3,0,0,0,0,0,-1,0,0,-2,2,1,1,1,1,1,-2,-3,-3,3,0,-1,-3,1,0,3
15576,-1,0,0,0,1,1,1,0,-1,-1,-2,-1,0,-2,0,1,3,0,-2,3,3,-3,2,-1,2,4
15582,-1,-2,2,0,0,1,0,2,-3,0,-2,1,2,0,0,-1,-2,-2,0,3,-2,-3,0,3,-1,2
15588,1,2,-2,-1,1,1,2,0,-2,1,0,-1,-2,-2,0,0,0,-2,-2,-2,-1,-2,-3,3,-2,1
15590,0,0,1,-1,-2,0,1,0,0,-2,0,-2,1,1,0,3,-1,1,1,1,2,-1,0,1,1,3
15593,-2,1,1,1,-2,1,3,-1,1,-2,-1,-1,1,-2,-1,0,-2,0,3,1,-2,0,0,1,0,2
15594,-3,-1,-2,-2,-2,2,-2,0,2,-2,3,-1,1,-1,-1,-2,0,0,-3,-1,-1,-2,1,1,0,1
15595,-1,0,1,-3,-3,3,-2,2,2,-3,3,-3,0,-1,0,2,-1,-1,-1,-2,2,0,-1,1,0,3
15596,0,2,0,0,1,-1,1,-2,0,0,-1,0,0,-3,1,-1,1,-2,-2,0,-1,-2,-1,2,0,1
15601,-1,-1,-1,-2,-1,-2,2,0,1,0,0,-1,-1,-1,-1,-1,-3,-1,-2,-2,0,-1,-1,0,-2,1
15604,-1,-1,1,-2,-1,-1,1,0,-2,-2,-1,2,-1,-3,0,0,-1,2,1,-1,2,-2,-1,-1,1,2
15608,2,2,0,-1,-2,-1,2,-2,-1,0,-1,1,3,1,0,0,-3,3,-2,-2,1,0,0,-2,0,3
15609,0,3,-3,-1,-1,2,2,0,1,-1,-1,-2,2,2,-1,-2,2,2,0,2,-1,-2,0,1,0,1
15610,1,1,0,-1,0,1,0,1,2,0,0,-3,0,1,1,0,2,0,-3,2,0,-1,1,2,1,5
15613,1,1,0,1,0,-1,1,0,0,-1,2,0,-1,-1,1,-1,0,2,-1,1,-1,2,0,-2,2,5
15614,-1,0,0,1,-2,-1,2,0,-2,-2,1,-1,1,0,-3,-2,-1,-1,-1,1,-1,-2,0,0,-3,1
15615,-2,-2,-2,-1,1,1,-1,0,2,-1,-1,1,3,-1,-2,-1,1,-1,0,-1,3,-1,0,0,1,4
15617,-1,0,1,0,-1,0,-1,-1,-2,-2,-1,-1,0,0,0,2,0,1,-2,2,1,-1,0,0,2,3
15618,1,1,1,-2,-2,1,1,0,-2,-1,-1,-1,2,1,0,0,-1,0,-2,0,-3,0,1,-1,-2,3
15621,-2,1,-2,0,3,2,1,2,-1,1,2,0,1,3,2,1,1,2,-1,3,-2,2,1,1,-1,5
15622,-1,-3,1,1,1,1,3,0,2,0,0,-1,1,-2,0,-1,-1,-2,0,3,-1,1,0,-1,-1,2
15623,2,-1,0,-3,-1,0,1,-1,0,0,-1,0,0,2,1,1,0,0,0,-1,-1,1,1,-1,1,4
15625,-1,-3,1,-2,-2,2,-2,-1,2,1,2,-3,2,1,2,2,1,1,-2,1,-1,0,0,2,2,3
15628,0,-1,-3,-2,0,1,-1,2,-1,-1,0,2,2,-2,-1,0,3,0,0,1,2,0,-1,0,0,4
15632,-1,-1,3,2,2,2,0,2,1,-2,-2,0,1,-2,-1,-1,0,1,-1,3,2,2,0,-2,-1,2
15642,0,-2,2,-1,-1,-2,2,0,-2,0,-3,0,1,-1,-1,0,-1,1,1,1,-1,-2,0,1,-1,2
15644,-1,0,1,-2,1,1,0,0,1,0,-2,1,1,0,-2,0,1,-1,-3,2,2,0,0,3,3,4
15645,1,2,-1,0,3,2,2,1,1,1,3,0,2,2,2,-3,2,1,-2,2,-1,2,1,1,1,5
15650,0,0,-3,-1,1,1,1,1,-1,-2,3,-3,-1,1,-2,2,-2,-1,-2,-2,1,1,-1,0,0,1
15652,1,1,-2,1,0,1,-2,-1,-3,0,1,1,-1,3,0,2,2,0,1,-3,-2,-2,0,-1,1,4
15659,-2,-2,0,1,-1,2,-1,1,-1,-2,-3,-3,-1,-1,-2,-1,-1,-1,-1,1,-1,3,-2,-1,-3,2
15671,-2,0,0,-2,-1,0,-1,-3,1,-1,2,-1,2,2,1,-1,-1,0,-1,-3,0,0,1,-1,1,1
15673,-2,-1,0,-1,0,2,1,0,0,-1,-1,0,2,-2,-1,-1,-1,2,-2,-1,-3,-2,0,0,1,1
15676,2,2,0,-2,-1,3,-2,-2,-1,2,1,2,-2,1,1,0,2,-3,1,-1,-3,-3,2,-1,1,4
15682,-1,-2,-1,-1,-1,0,3,-2,-1,-1,0,1,1,2,-1,-2,-2,3,-3,-1,-1,0,1,-2,1,1
15684,-2,0,1,-2,-2,2,-2,-1,-3,-1,2,-2,0,0,1,0,0,1,-1,1,1,0,-2,1,2,3
15685,0,1,2,0,-3,1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,1,1,0,-1,-2,3,2,-1,-1,3
15690,-1,0,-2,-1,-1,2,1,-2,2,-2,1,0,2,2,-1,-1,1,0,-1,0,0,0,3,-1,3,1
15696,-2,-1,0,0,-2,0,1,1,0,-1,0,0,2,1,-1,0,-1,-1,0,0,1,0,-2,1,-1,2
15699,0,2,0,0,0,0,3,-1,-1,-1,1,-2,0,0,1,-1,-2,-1,-3,-1,-1,-2,0,0,0,1
15710,0,-1,0,-1,1,-1,2,0,2,-2,-2,0,1,-3,2,-1,2,0,-2,-2,1,-2,1,-1,0,5
15715,1,2,0,-2,-2,1,2,0,-1,-1,-1,-2,0,2,-3,1,0,2,-1,-3,-1,2,-1,0,-1,3
15717,-1,0,1,-2,-2,2,-1,0,-2,-1,3,-2,1,-2,0,1,-2,-1,-1,2,2,1,-2,3,2,3
15718,-1,-1,2,1,0,0,-2,3,-1,-1,-1,0,3,-1,0,-3,1,-1,-1,2,-1,0,1,-1,2,2
15720,-1,2,0,-2,-3,2,-3,1,0,1,0,3,-3,1,0,1,2,-2,-1,1,0,-2,2,2,-1,4
15724,0,3,-1,0,-1,0,1,-3,1,1,-2,-2,2,1,-2,-2,0,2,1,0,-1,-2,2,-1,2,1
15730,-2,-1,1,-1,-1,1,0,2,2,-1,-2,-3,0,-1,-2,-2,-2,-1,1,-1,-3,2,-1,-1,-1,2
15734,-1,1,2,-3,-3,-1,1,-2,0,-2,-1,1,3,0,-1,1,-2,0,-3,-1,-2,1,1,-1,0,3
15741,-1,2,-1,-3,1,-1,1,1,1,0,0,-1,1,0,-2,-2,-3,-1,-1,1,-1,0,-2,2,-2,1
15742,2,-1,1,-1,1,1,0,1,0,-1,2,-2,0,2,2,-1,2,0,0,0,-1,0,2,1,2,5
15750,-3,-3,3,-2,1,1,1,3,2,-3,1,-1,-2,-1,0,0,-1,-3,3,-1,0,3,1,0,0,2
15751,-2,-2,2,-2,1,-3,-1,0,0,-1,0,2,0,-2,-3,-2,-2,2,0,0,-1,-2,-1,1,2,2
15753,1,-2,-1,-2,-1,1,0,-2,0,0,0,-3,0,1,0,2,-2,-2,2,-1,1,-2,-1,2,0,3
15760,-3,0,-3,0,1,-1,-1,-2,-2,-1,0,-1,-1,-2,0,1,-1,-2,0,-1,0,1,-2,2,-1,1
15761,0,-1,-1,-1,2,1,1,2,0,0,1,-2,2,2,0,2,2,-1,0,2,-1,-1,1,1,-1,5
15763,1,3,0,0,-2,1,1,0,2,3,-1,2,2,-1,1,-2,0,1,-1,1,-2,0,1,-1,2,5
15767,-1,0,0,-2,0,1,0,3,1,0,-1,-1,0,-1,2,-1,2,-2,-3,-1,0,0,1,-2,0,5
15771,1,2,2,-3,1,1,2,1,-2,1,-1,-2,2,1,-1,2,0,-1,-3,-1,-1,2,2,-2,-2,3
15775,1,2,0,0,0,0,-2,0,-1,2,0,0,2,-1,-1,-1,1,-2,3,-2,1,-1,0,-1,1,4
15778,-2,0,-3,0,0,-2,1,-3,-3,-2,-2,2,-2,-2,1,-2,-1,-3,0,-1,-1,-2,-2,2,-1,1
15780,-2,1,-2,-2,3,-2,2,0,1,-2,-2,-2,2,0,2,0,2,-1,-1,-2,1,-1,2,-1,2,5
15784,1,0,0,0,0,1,-2,-1,0,1,1,0,-1,1,2,3,3,0,2,-2,1,0,3,-1,3,4
15788,0,1,-1,-1,2,-3,0,-3,-2,-2,1,-1,-1,-2,-1,0,2,-1,1,-2,-1,-2,-1,1,1,1
15790,0,0,0,2,-3,1,0,-2,1,-2,-1,2,-1,-1,-1,0,0,-1,1,0,-3,2,0,-1,-1,3
15791,0,-2,0,-2,-1,1,-1,2,1,0,-3,-1,0,-1,2,-3,-2,0,0,3,-2,-1,-1,3,-1,2
15792,-2,1,0,-2,1,1,-1,-1,1,-1,-2,-3,2,-1,3,0,1,0,0,0,0,-2,2,-3,3,5
15793,-2,1,-2,1,-2,-1,0,0,-1,0,2,0,0,3,0,0,-2,-2,1,0,0,-1,0,2,1,4
15798,0,0,-1,-2,1,3,0,1,1,-1,-2,0,0,1,-3,-1,1,-1,-1,-3,-2,-1,2,-3,0,1
15799,1,0,1,-1,1,3,0,0,2,-1,0,-2,0,1,2,0,3,-1,-1,1,-3,1,1,0,0,5
15801,-3,0,-2,-2,2,-1,2,-2,-1,-1,0,0,-2,-3,-1,-2,-1,0,-1,-1,-2,-1,-2,1,-1,1
15802,2,0,1,1,0,1,0,0,1,-1,-2,-1,-1,0,2,-1,3,0,-2,2,-3,2,0,0,0,5
15807,0,0,-1,2,-3,2,1,-1,0,-1,1,-1,3,1,1,-1,-2,0,0,0,-3,-1,1,-2,1,1
15808,-1,-2,-2,-1,0,2,2,1,3,-3,-1,1,1,0,-2,1,-1,-1,0,-1,2,0,1,1,0,4
15809,1,2,1,-3,0,1,2,-1,-1,-1,-1,-3,3,2,0,2,-2,0,0,-1,0,1,3,-2,-2,3
15810,-1,-2,0,1,2,2,-1,2,-1,-2,-2,0,1,0,-1,-2,1,-2,-1,0,1,2,0,1,0,5
15815,-2,-1,-1,0,2,3,0,2,2,-1,-2,-1,-1,-1,0,0,3,-2,2,-1,1,2,0,1,-2,5
15819,0,-1,-1,-3,1,1,0,0,1,-1,-2,2,1,0,-1,0,0,-1,0,1,0,2,0,2,0,4
15823,1,3,1,-2,-3,2,0,-1,1,1,1,-1,2,1,-1,0,-1,1,-2,-1,-1,3,0,-1,-2,3
15824,0,-1,0,1,-1,-2,0,2,-3,-1,0,2,2,-2,-2,0,0,0,0,2,-2,0,0,1,1,2
15826,-1,-2,2,-1,0,1,-1,-1,0,0,2,-1,0,2,2,3,-2,1,-1,1,0,-1,-2,2,2,3
15827,-1,-1,-1,-3,2,1,-1,0,2,-1,-2,2,3,1,-1,1,1,0,2,-2,1,-1,2,-1,0,4
15829,-1,-2,1,-1,0,-3,2,2,1,-3,0,1,1,-2,-3,-2,0,3,1,1,-1,0,3,2,1,2
15830,-1,-1,0,1,-1,1,3,1,1,0,0,-2,3,0,-1,0,-3,0,1,1,-1,0,-2,2,-1,2
15833,-1,0,-2,-1,2,2,0,1,0,1,1,-2,2,1,1,1,1,2,-2,0,-2,1,1,2,0,5
15834,1,0,-1,-1,2,1,3,1,1,2,0,0,0,0,0,2,2,0,0,1,-1,1,0,-1,1,5
15835,-2,-1,1,2,-2,1,-1,2,2,1,-1,0,0,0,-3,-3,-2,-2,3,1,-2,0,-1,3,1,2
15839,-1,2,1,1,2,2,3,-1,-1,0,1,2,0,3,-3,0,0,3,-3,0,0,-1,1,-2,1,1
15840,-1,0,-1,0,3,-1,1,1,0,-2,-1,0,2,-3,2,-2,-1,1,-2,-1,-1,-1,3,0,0,5
15843,0,-1,0,0,1,0,1,2,0,0,-1,0,2,0,0,-1,0,-2,0,-1,0,-1,3,-2,2,5
15845,0,1,-2,-3,0,0,0,-1,2,-2,-2,2,1,-3,1,-2,1,1,-1,0,1,2,3,3,0,4
15849,1,2,-1,-1,-1,-1,0,2,2,1,0,-1,-1,1,1,-1,2,0,-1,1,0,1,2,3,1,5
15850,2,-2,-1,-2,2,1,1,1,1,-1,-1,2,-1,-1,-1,2,0,-2,1,3,2,0,2,1,0,4
15855,-1,-2,1,1,-2,0,3,0,2,1,1,-1,1,-1,-1,1,-2,-3,1,1,-1,2,-2,2,0,2
15857,-1,1,0,-2,0,2,2,-1,0,-1,0,-3,1,3,-1,1,-1,1,-1,-1,-1,1,2,0,-2,3
15858,-1,-1,3,-1,-1,0,1,0,0,-1,-1,-1,0,-1,0,-2,-2,-2,2,0,-1,0,-1,0,1,2
15859,1,3,0,0,2,0,2,3,0,0,2,0,-1,2,2,-2,2,2,-2,3,-1,3,1,2,1,5
15861,1,-2,1,-1,0,2,2,2,3,2,-2,-1,1,0,2,0,-3,0,2,0,-3,1,-2,1,-2,2
15865,2,1,-1,1,-1,1,2,-2,0,0,-3,1,1,1,-1,2,-1,2,1,-2,-1,0,2,-1,-2,3
15868,1,0,0,-1,-1,2,3,-1,0,1,-2,-1,3,2,0,0,-3,3,-2,0,-3,0,1,-3,1,1
15869,0,-2,-1,0,-1,2,0,0,0,-2,1,0,0,1,-2,-1,1,1,-1,-1,2,-2,0,2,2,5
15877,-2,-2,0,1,-1,1,3,1,0,-2,-2,-1,0,-1,-2,-1,0,-1,1,1,0,2,1,1,-2,2
15878,-1,-3,-1,0,2,1,1,1,1,-2,-2,1,0,-2,1,-1,2,0,-2,1,2,-1,-1,0,1,4
15882,0,0,-1,2,0,-1,3,0,-3,-2,2,-1,-2,0,0,-1,-1,-1,-2,0,1,-3,1,0,0,1
15884,-1,-3,-2,-2,2,1,-2,2,0,-1,-1,0,-1,-1,-1,-3,2,-1,-1,2,2,2,1,1,1,5
15888,0,0,0,-1,-2,2,1,-2,0,-1,2,-1,1,0,0,3,-2,0,0,1,2,-2,-2,1,2,3
15890,-3,1,0,2,-1,1,0,-1,1,-2,3,-1,2,-1,-1,-1,-1,1,-3,-1,-1,-1,1,1,3,1
